divipola,annee,valeur,moran_local,p_simule,classe,municipio,departamento
15218,2002,3.4576789861946486,-0.03497684387520979,0.384,Non significatif,Covarachía,Boyacá
15223,2002,0.9449555542275843,-0.0499896886416211,0.487,Non significatif,Cubará,Boyacá
15224,2002,0.0,2.236420143879941,0.001,Bas-Bas,Cucaita,Boyacá
15226,2002,0.0,1.932338908182895,0.002,Bas-Bas,Cuítiva,Boyacá
15232,2002,0.0,2.37421252028532,0.001,Bas-Bas,Chíquiza,Boyacá
15236,2002,1.8502106054215262,0.12884353676328308,0.279,Non significatif,Chivor,Boyacá
15238,2002,0.10708968764421752,2.361830781311478,0.001,Bas-Bas,Duitama,Boyacá
15244,2002,3.0180912349713043,0.032562870156162604,0.252,Non significatif,El Cocuy,Boyacá
15248,2002,3.9960625305530137,0.22638238470952576,0.237,Non significatif,El Espino,Boyacá
15272,2002,0.0,1.9973902793535951,0.002,Bas-Bas,Firavitoba,Boyacá
15276,2002,0.0,2.522464263293877,0.001,Bas-Bas,Floresta,Boyacá
15293,2002,2.303376584809426,0.4681182327194465,0.001,Bas-Bas,Gachantivá,Boyacá
15296,2002,0.5735963361751201,1.6975884800430048,0.001,Bas-Bas,Gámeza,Boyacá
15299,2002,0.8109931798362376,1.0694292378932635,0.012,Bas-Bas,Garagoa,Boyacá
15317,2002,2.6378208082605843,-0.05696726520965778,0.145,Non significatif,Guacamayas,Boyacá
15322,2002,1.3438714936518337,0.5369016438178147,0.063,Non significatif,Guateque,Boyacá
15325,2002,2.9165099318670933,-0.03168622648185503,0.037,Atypique,Guayatá,Boyacá
15332,2002,2.855856199469989,0.0029244792114863187,0.238,Non significatif,Güicán de la Sierra,Boyacá
15362,2002,2.294469769455462,0.4498922289442863,0.001,Bas-Bas,Iza,Boyacá
15367,2002,0.0,2.031462624419151,0.001,Bas-Bas,Jenesano,Boyacá
15368,2002,2.8981763184688436,-0.006180779631605511,0.31,Non significatif,Jericó,Boyacá
15377,2002,4.46610148634143,-0.30387114521402797,0.203,Non significatif,Labranzagrande,Boyacá
15380,2002,0.0,2.0132079460940355,0.002,Bas-Bas,La Capilla,Boyacá
15401,2002,1.96644190559025,-0.2366642634942386,0.16,Non significatif,La Victoria,Boyacá
15403,2002,2.5023985386212693,0.0012189591337438328,0.475,Non significatif,La Uvita,Boyacá
15407,2002,0.0573869621942373,2.0706965467231773,0.001,Bas-Bas,Villa de Leyva,Boyacá
15425,2002,2.789984627422941,0.02296508267750711,0.028,Bas-Bas,Macanal,Boyacá
15442,2002,2.723282199280618,0.042467111910089526,0.062,Non significatif,Maripí,Boyacá
15455,2002,3.1875389573149375,-0.027269762817288812,0.344,Non significatif,Miraflores,Boyacá
15464,2002,0.7691621320587092,1.5764753906713986,0.002,Bas-Bas,Mongua,Boyacá
15466,2002,0.0,2.268280499726278,0.002,Bas-Bas,Monguí,Boyacá
15469,2002,0.20997741046701857,0.8572221031279018,0.086,Non significatif,Moniquirá,Boyacá
15476,2002,0.77737745106967,1.8003751520927267,0.001,Bas-Bas,Motavita,Boyacá
15480,2002,2.4983656906207092,0.05408447842962254,0.234,Non significatif,Muzo,Boyacá
15491,2002,0.0,2.522464263293877,0.001,Bas-Bas,Nobsa,Boyacá
15494,2002,0.0,2.1970690043903502,0.002,Bas-Bas,Nuevo Colón,Boyacá
15500,2002,0.0,2.3844042786258526,0.002,Bas-Bas,Oicatá,Boyacá
15507,2002,3.2810434020168584,-0.022619742866267143,0.397,Non significatif,Otanche,Boyacá
15511,2002,0.0,1.8482039779528894,0.004,Bas-Bas,Pachavita,Boyacá
15514,2002,5.297738348694887,0.7860279391987779,0.12,Non significatif,Páez,Boyacá
15516,2002,0.3834913052444232,2.112217360136826,0.001,Bas-Bas,Paipa,Boyacá
15518,2002,4.719912591772319,0.991334370855837,0.026,Haut-Haut,Pajarito,Boyacá
15522,2002,3.40538150753416,0.13150283375306418,0.191,Non significatif,Panqueba,Boyacá
15531,2002,1.6257244654772733,0.2568643200418667,0.177,Non significatif,Pauna,Boyacá
15533,2002,2.022016137065934,-0.13704214054855873,0.274,Non significatif,Paya,Boyacá
15537,2002,1.6655830313006834,0.31038832479278455,0.129,Non significatif,Paz de Río,Boyacá
15542,2002,0.4227119502412836,1.744877580296205,0.002,Bas-Bas,Pesca,Boyacá
15550,2002,3.701998815286976,-0.02516054455852326,0.431,Non significatif,Pisba,Boyacá
15572,2002,2.275506966031373,0.02577798118575595,0.405,Non significatif,Puerto Boyacá,Boyacá
15580,2002,1.4261335608486356,-0.07314583894383439,0.454,Non significatif,Quípama,Boyacá
15599,2002,1.053707881631809,1.2815588865038168,0.002,Bas-Bas,Ramiriquí,Boyacá
15600,2002,0.0,2.3428655657532915,0.002,Bas-Bas,Ráquira,Boyacá
15621,2002,0.0,1.89486049971509,0.003,Bas-Bas,Rondón,Boyacá
15632,2002,0.7152586328141568,1.4516414746720545,0.002,Bas-Bas,Saboyá,Boyacá
15638,2002,0.0,2.408054689958311,0.001,Bas-Bas,Sáchica,Boyacá
15646,2002,0.586821587527335,1.984293564820764,0.001,Bas-Bas,Samacá,Boyacá
15660,2002,2.3731816319184538,-0.18831258318096242,0.068,Non significatif,San Eduardo,Boyacá
15664,2002,1.0000758990460736,0.5164651085449028,0.118,Non significatif,San José de Pare,Boyacá
15667,2002,3.376483800311893,-0.039669360928618135,0.354,Non significatif,San Luis de Gaceno,Boyacá
15673,2002,4.597077638942127,0.2256510946338773,0.334,Non significatif,San Mateo,Boyacá
15676,2002,0.0,1.9739130649488004,0.002,Bas-Bas,San Miguel de Sema,Boyacá
15681,2002,2.4389353092572885,0.06652499688147592,0.227,Non significatif,San Pablo de Borbur,Boyacá
15686,2002,1.6124362056169157,0.6205458849942144,0.016,Bas-Bas,Santana,Boyacá
15690,2002,2.3146199274203667,0.051424710477173945,0.313,Non significatif,Santa María,Boyacá
15693,2002,0.0,2.503445444811401,0.001,Bas-Bas,Santa Rosa de Viterbo,Boyacá
15696,2002,0.0,1.7616675059239586,0.004,Bas-Bas,Santa Sofía,Boyacá
15720,2002,2.2165012393797316,0.11218073742337797,0.206,Non significatif,Sativanorte,Boyacá
15723,2002,2.3749257544723426,0.10716398366774431,0.154,Non significatif,Sativasur,Boyacá
15740,2002,0.0,2.522464263293877,0.001,Bas-Bas,Siachoque,Boyacá
15753,2002,1.0922469180724257,0.39193046079379995,0.16,Non significatif,Soatá,Boyacá
15755,2002,2.394458856075348,0.06024186265816439,0.263,Non significatif,Socotá,Boyacá
15757,2002,2.250999805375634,0.21152250421314464,0.061,Non significatif,Socha,Boyacá
15759,2002,0.6620760844354565,1.6220335897717504,0.002,Bas-Bas,Sogamoso,Boyacá
15761,2002,2.394993586648828,0.21708079258881838,0.022,Bas-Bas,Somondoco,Boyacá
15762,2002,0.0,2.340637958874975,0.002,Bas-Bas,Sora,Boyacá
15763,2002,0.34670254193083677,1.7220415193611542,0.002,Bas-Bas,Sotaquirá,Boyacá
15764,2002,0.0,2.174831773779825,0.002,Bas-Bas,Soracá,Boyacá
15774,2002,2.3279745054845535,0.07609599565228088,0.245,Non significatif,Susacón,Boyacá
15776,2002,0.0,2.103199492164121,0.002,Bas-Bas,Sutamarchán,Boyacá
15778,2002,0.0,1.476286185143205,0.009,Bas-Bas,Sutatenza,Boyacá
